le영화명,메이저제작사,메이저배급사,전국스크린수,전국매출액,전국관객수,상영횟수,독립여부,스타파워,감독파워,관람객평점,평론가평점,네티즌평점,청불,15세,12세,전체
불한당: 나쁜 놈들의 세상,1 ,1 ,860 ,91940500 ,14909 ,1009 ,0 ,1 ,1 ,8 ,6 ,6 ,1 ,0 ,0 ,0 
기억의밤,1 ,1 ,759 ,6616500 ,1168 ,156 ,0 ,1 ,1 ,8 ,6 ,8 ,0 ,1 ,0 ,0 
초행,0 ,0 ,47 ,6551400 ,856 ,161 ,1 ,0 ,0 ,8 ,7 ,8 ,0 ,0 ,1 ,0 
산상수훈,0 ,0 ,71 ,77159400 ,9406 ,272 ,1 ,0 ,0 ,8 ,3 ,7 ,0 ,0 ,0 ,1 
돌아온다,0 ,0 ,58 ,7147000 ,1286 ,277 ,1 ,0 ,0 ,7 ,6 ,8 ,0 ,0 ,1 ,0 
보로로극장판 공룡섬대모험,0 ,1 ,803 ,379701700 ,53592 ,1722 ,0 ,0 ,0 ,9 ,,9 ,0 ,0 ,0 ,1 
메리크리스마스 미스터모,0 ,0 ,31 ,4951000 ,671 ,140 ,1 ,0 ,0 ,9 ,7 ,9 ,0 ,0 ,1 ,0 
련희와연희,0 ,0 ,6 ,3845000 ,1117 ,403 ,1 ,0 ,0 ,9 ,6 ,7 ,0 ,1 ,0 ,0 
강철비,1 ,1 ,1426 ,3494678900 ,438447 ,13595 ,0 ,1 ,1 ,9 ,7 ,8 ,0 ,1 ,0 ,0 
신과함께-죄와벌,1 ,1 ,1912 ,47355583705 ,5872007 ,121959 ,0 ,1 ,1 ,9 ,6 ,8 ,0 ,0 ,1 ,0 
1987,1 ,1 ,1299 ,42915772108 ,5290310 ,110605 ,0 ,1 ,1 ,9 ,8 ,9 ,0 ,1 ,0 ,0 
광인옥한흠,0 ,0 ,18 ,10471700 ,1348 ,89 ,0 ,0 ,0 ,10 ,,9 ,0 ,0 ,0 ,1 
나의연기워크샵,0 ,0 ,12 ,4930500 ,679 ,146 ,1 ,0 ,0 ,8 ,6 ,7 ,0 ,1 ,0 ,0 
스타박'스다방,0 ,0 ,28 ,6495000 ,1026 ,290 ,1 ,0 ,0 ,8 ,5 ,7 ,0 ,1 ,0 ,0 
B급며느리,0 ,0 ,60 ,154328100 ,19843 ,1907 ,1 ,0 ,0 ,9 ,5 ,8 ,0 ,0 ,1 ,0 
그것만이내세상,1 ,1 ,956 ,27450805382 ,3419339 ,95430 ,0 ,1 ,1 ,9 ,5 ,9 ,0 ,0 ,1 ,0 
돌아와요부산항애,0 ,0 ,88 ,38622300 ,5163 ,825 ,0 ,0 ,0 ,6 ,2 ,4 ,0 ,1 ,0 ,0 
젝스키스에이틴,1 ,1 ,25 ,364405500 ,50419 ,774 ,0 ,0 ,0 ,,,9 ,0 ,0 ,0 ,1 
파란입이달린얼굴,0 ,0 ,13 ,7223200 ,1120 ,206 ,0 ,0 ,0 ,9 ,6 ,8 ,0 ,1 ,0 ,0 
피의연대기,0 ,0 ,38 ,82887200 ,10631 ,1052 ,1 ,0 ,0 ,10 ,7 ,9 ,0 ,0 ,1 ,0 
1급기밀,0 ,0 ,512 ,1720083300 ,217803 ,11351 ,0 ,1 ,1 ,9 ,6 ,9 ,0 ,0 ,1 ,0 
비밥바룰라,0 ,1 ,347 ,322716200 ,47563 ,4055 ,0 ,0 ,0 ,9 ,5 ,9 ,0 ,0 ,1 ,0 
공동정범,0 ,0 ,73 ,82656300 ,11252 ,1166 ,1 ,0 ,0 ,9 ,8 ,8 ,0 ,1 ,0 ,0 
기생-꽃의고백,0 ,0 ,5 ,6404000 ,1863 ,318 ,1 ,0 ,0 ,10 ,,8 ,0 ,0 ,1 ,0 
반도에살어리랏다,0 ,0 ,14 ,15274500 ,2073 ,221 ,0 ,0 ,0 ,9 ,6 ,7 ,0 ,1 ,0 ,0 
천화,0 ,0 ,11 ,13873900 ,1743 ,223 ,1 ,0 ,0 ,9 ,7 ,6 ,0 ,1 ,0 ,0 
누에치던방,0 ,0 ,22 ,18228800 ,2273 ,403 ,1 ,0 ,0 ,8 ,7 ,7 ,0 ,1 ,0 ,0 
염력,1 ,1 ,1099 ,7484644112 ,990104 ,45622 ,0 ,1 ,1 ,6 ,6 ,5 ,0 ,1 ,0 ,0 
종이비행기,0 ,0 ,3 ,507000 ,104 ,23 ,1 ,0 ,0 ,10 ,3 ,7 ,0 ,1 ,0 ,0 
조선명탐정:흡혈괴마의비밀,1 ,1 ,1249 ,19822789764 ,2444136 ,74950 ,0 ,1 ,1 ,8 ,5 ,7 ,0 ,0 ,1 ,0 
터닝메카드W:반다인의비밀특별판,0 ,0 ,168 ,164797700 ,21947 ,1728 ,0 ,0 ,0 ,7 ,,6 ,0 ,0 ,0 ,1 
퍼스트스텝,0 ,0 ,5 ,669000 ,108 ,53 ,0 ,0 ,0 ,,,9 ,0 ,0 ,1 ,0 
풍뎅이뎅이,0 ,0 ,4 ,2001000 ,308 ,46 ,0 ,0 ,0 ,,,7 ,0 ,0 ,0 ,1 
골든슬럼버,1 ,1 ,833 ,11412768798 ,1387508 ,42990 ,0 ,1 ,0 ,6 ,5 ,5 ,0 ,1 ,0 ,0 
전설의고향,0 ,0 ,1 ,14000 ,2 ,2 ,1 ,0 ,0 ,,,8 ,0 ,0 ,1 ,0 
흥부:글로 세상을 바꾼자,0 ,1 ,627 ,3381050200 ,416303 ,18671 ,0 ,0 ,0 ,7 ,5 ,4 ,0 ,0 ,1 ,0 
숲속의부부,0 ,0 ,7 ,4265500 ,496 ,94 ,0 ,0 ,0 ,10 ,,5 ,1 ,0 ,0 ,0 
게스트하우스,0 ,0 ,12 ,2062500 ,303 ,121 ,1 ,0 ,0 ,6 ,,7 ,0 ,0 ,1 ,0 
라라,0 ,0 ,28 ,14798800 ,1860 ,199 ,0 ,0 ,0 ,8 ,3 ,7 ,0 ,1 ,0 ,0 
퍼즐,0 ,0 ,13 ,8877300 ,1159 ,134 ,0 ,0 ,0 ,8 ,2 ,5 ,1 ,0 ,0 ,0 
환절기,0 ,0 ,51 ,52988000 ,6596 ,903 ,1 ,0 ,0 ,9 ,5 ,8 ,0 ,1 ,0 ,0 
궁합,1 ,1 ,966 ,10478875438 ,1340117 ,52427 ,0 ,1 ,1 ,7 ,4 ,6 ,0 ,0 ,1 ,0 
리틀포레스트,1 ,1 ,884 ,11929202185 ,1506269 ,68408 ,0 ,1 ,1 ,9 ,6 ,9 ,0 ,0 ,0 ,1 
게이트,0 ,0 ,208 ,822757100 ,102789 ,5510 ,0 ,1 ,1 ,9 ,3 ,4 ,0 ,1 ,0 ,0 
사라진밤,1 ,1 ,925 ,10697981316 ,1315726 ,60084 ,0 ,1 ,1 ,8 ,5 ,7 ,0 ,1 ,0 ,0 
우리는썰매를탄다,0 ,0 ,58 ,18391900 ,2432 ,424 ,0 ,0 ,0 ,10 ,7 ,9 ,0 ,0 ,0 ,1 
과물들,0 ,0 ,56 ,28104500 ,3277 ,657 ,0 ,0 ,0 ,6 ,3 ,4 ,1 ,0 ,0 ,0 
바나나쏭의기적,0 ,0 ,53 ,69965200 ,10112 ,618 ,1 ,0 ,0 ,10 ,,9 ,0 ,0 ,0 ,1 
애국청년변희재,0 ,0 ,1 ,58000 ,17 ,7 ,1 ,0 ,0 ,,,4 ,0 ,1 ,0 ,0 
예스평창!,0 ,0 ,11 ,7694800 ,968 ,66 ,0 ,0 ,0 ,,,8 ,0 ,0 ,0 ,1 
지금만나러갑니다,1 ,1 ,1191 ,20800916128 ,2602273 ,97477 ,0 ,1 ,0 ,9 ,6 ,9 ,0 ,0 ,1 ,0 
치즈인더트랩,0 ,0 ,364 ,1890873700 ,229005 ,14710 ,0 ,1 ,1 ,8 ,4 ,5 ,0 ,1 ,0 ,0 
엄마의공책,0 ,0 ,75 ,67499500 ,10102 ,1248 ,1 ,0 ,1 ,8 ,6 ,9 ,0 ,0 ,0 ,1 
일진,0 ,0 ,5 ,1322000 ,224 ,74 ,1 ,0 ,0 ,,,5 ,1 ,0 ,0 ,0 
미니특공대X,0 ,0 ,458 ,746262200 ,100164 ,5452 ,0 ,0 ,0 ,8 ,,8 ,0 ,0 ,0 ,1 
소공녀,0 ,1 ,284 ,472636200 ,59110 ,5757 ,1 ,1 ,1 ,9 ,7 ,9 ,0 ,1 ,0 ,0 
운동회,0 ,0 ,81 ,33945900 ,5075 ,709 ,1 ,0 ,0 ,9 ,5 ,7 ,0 ,0 ,1 ,0 
타클라마칸,0 ,0 ,17 ,6574300 ,840 ,182 ,0 ,0 ,0 ,,4 ,7 ,1 ,0 ,0 ,0 
7년의밤,1 ,1 ,872 ,3969337524 ,528007 ,26804 ,0 ,1 ,1 ,6 ,6 ,5 ,0 ,1 ,0 ,0 
곤지암,1 ,1 ,1124 ,21442194144 ,2675575 ,88475 ,0 ,0 ,0 ,8 ,6 ,6 ,0 ,1 ,0 ,0 
인투더나잇,0 ,0 ,14 ,4704300 ,593 ,22 ,1 ,0 ,0 ,6 ,,6 ,0 ,0 ,1 ,0 
대부업자:소울앤캐시,0 ,0 ,5 ,73000 ,30 ,30 ,1 ,0 ,0 ,,,7 ,0 ,0 ,1 ,0 
덕구,0 ,1 ,544 ,2389041700 ,315663 ,19006 ,0 ,1 ,0 ,9 ,6 ,9 ,0 ,0 ,0 ,1 
바람바람바람,1 ,1 ,985 ,9784385375 ,1194229 ,57936 ,0 ,1 ,1 ,7 ,5 ,6 ,1 ,0 ,0 ,0 
번개맨과신비의섬,0 ,0 ,191 ,486548700 ,60561 ,2560 ,0 ,0 ,0 ,,4 ,9 ,0 ,0 ,0 ,1 
"그날,바다",0 ,0 ,643 ,4446000528 ,540631 ,30376 ,1 ,0 ,0 ,10 ,6 ,9 ,0 ,1 ,0 ,0 
눈꺼풀,0 ,0 ,14 ,7379200 ,985 ,205 ,1 ,0 ,0 ,9 ,8 ,7 ,0 ,1 ,0 ,0 
머니백,0 ,0 ,472 ,417495600 ,53610 ,6877 ,0 ,0 ,0 ,7 ,5 ,6 ,0 ,1 ,0 ,0 
스파키,0 ,0 ,312 ,257040200 ,35436 ,1947 ,0 ,0 ,0 ,8 ,4 ,9 ,0 ,0 ,0 ,1 
아버지를찾아서,0 ,0 ,7 ,1262000 ,445 ,92 ,0 ,0 ,0 ,,,7 ,0 ,0 ,0 ,1 
호랑이보다 무서운겨울손님,0 ,0 ,134 ,70134900 ,8693 ,1602 ,1 ,0 ,0 ,8 ,7 ,7 ,0 ,1 ,0 ,0 
나를기억해,0 ,1 ,545 ,1230898892 ,141222 ,14321 ,0 ,1 ,0 ,8 ,4 ,7 ,1 ,0 ,0 ,0 
당신의부탁,0 ,1 ,371 ,206779428 ,25789 ,5029 ,0 ,1 ,1 ,8 ,6 ,8 ,0 ,1 ,0 ,0 
무문관,0 ,0 ,43 ,166650700 ,21808 ,1145 ,0 ,0 ,0 ,9 ,,8 ,0 ,0 ,0 ,1 
수성못,0 ,0 ,36 ,26232400 ,3550 ,518 ,0 ,0 ,0 ,8 ,6 ,7 ,0 ,1 ,0 ,0 
원죄,0 ,0 ,6 ,1739600 ,228 ,42 ,1 ,0 ,0 ,,,5 ,1 ,0 ,0 ,0 
파파오랑후탄,0 ,0 ,3 ,14655000 ,1951 ,94 ,0 ,0 ,0 ,10 ,,9 ,0 ,0 ,1 ,0 
달밤체조2015,0 ,0 ,2 ,5070000 ,685 ,31 ,1 ,0 ,0 ,,,8 ,0 ,0 ,1 ,0 
살인소설,1 ,0 ,434 ,392591200 ,49682 ,5708 ,0 ,0 ,0 ,7 ,5 ,6 ,0 ,1 ,0 ,0 
신전래동화,0 ,0 ,6 ,86000 ,36 ,36 ,0 ,0 ,0 ,,,6 ,0 ,1 ,0 ,0 
비스티걸스감독판,0 ,0 ,1 ,1 ,1000 ,1 ,1 ,1 ,0 ,,,4 ,1 ,0 ,0 ,0 
클레어의카메라,0 ,0 ,68 ,75369300 ,9439 ,1442 ,1 ,1 ,1 ,8 ,7 ,6 ,0 ,1 ,0 ,0 
그날의기억,0 ,0 ,1 ,972000 ,108 ,1 ,1 ,0 ,0 ,,,10 ,0 ,0 ,1 ,0 
다시..올래,0 ,0 ,4 ,1448500 ,273 ,72 ,1 ,0 ,0 ,10 ,3 ,7 ,0 ,0 ,1 ,0 
챔피언,0 ,1 ,874 ,9471138230 ,1128774 ,47320 ,0 ,1 ,1 ,7 ,5 ,6 ,0 ,0 ,1 ,0 
레슬러,1 ,1 ,957 ,6481379657 ,771141 ,43077 ,0 ,1 ,1 ,6 ,4 ,5 ,0 ,1 ,0 ,0 
오아시스세탁소,0 ,0 ,1 ,827500 ,325 ,23 ,1 ,0 ,0 ,4 ,,6 ,0 ,0 ,1 ,0 
해원,0 ,0 ,22 ,9486460 ,1544 ,270 ,1 ,0 ,0 ,9 ,5 ,7 ,0 ,1 ,0 ,0 
임을위한행진곡,0 ,0 ,160 ,139985700 ,18023 ,1561 ,0 ,0 ,0 ,7 ,5 ,4 ,0 ,1 ,0 ,0 
5.18힌츠페터스토리,0 ,0 ,119 ,72502600 ,10610 ,1299 ,1 ,0 ,0 ,10 ,6 ,8 ,0 ,0 ,1 ,0 
마중: 커피숍 난동 수다 사건,0 ,0 ,6 ,2481500 ,315 ,56 ,1 ,0 ,0 ,,5 ,7 ,0 ,1 ,0 ,0 
버닝,1 ,1 ,739 ,4716771098 ,528435 ,26512 ,0 ,1 ,1 ,8 ,8 ,7 ,1 ,0 ,0 ,0 
